Thread ID: 2148303280
Total: 0.067370

 %self     total     self     wait    child    calls  name
 12.16      0.01     0.01     0.00     0.00     1020  FlexGen::MetamodelBuilder::BuilderRuntime#is_a? (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/metamodel_builder/builder_runtime.rb:16}
  7.03      0.03     0.00     0.00     0.02      325  Array#each (ruby_runtime:0}
  3.56      0.01     0.00     0.00     0.01      225  Array#each(d1) (ruby_runtime:0}
  3.32      0.03     0.00     0.00     0.02       84  Array#select (ruby_runtime:0}
  2.67      0.00     0.00     0.00     0.00     1124  Kernel#is_a? (ruby_runtime:0}
  2.52      0.00     0.00     0.00     0.00     1020  Module#const_defined? (ruby_runtime:0}
  2.30      0.00     0.00     0.00     0.00      492  Hash#[] (ruby_runtime:0}
  2.22      0.00     0.00     0.00     0.00      290  FlexGen::ECore::EClass::ClassModule#eSuperTypes ((eval):2}
  2.06      0.00     0.00     0.00     0.00       56  FlexGen::Transformer#trans (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/transformer.rb:330}
  1.82      0.00     0.00     0.00     0.00      266  Kernel#dup (ruby_runtime:0}
  1.77      0.00     0.00     0.00     0.00      765  Kernel#kind_of? (ruby_runtime:0}
  1.74      0.04     0.00     0.00     0.04       18  FlexGen::ModelBuilder::BuilderContext#method_missing(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  1.74      0.02     0.00     0.00     0.02       58  Array#method_missing (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/array_extensions.rb:12}
  1.65      0.01     0.00     0.00     0.01       58  Array#method_missing(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/array_extensions.rb:12}
  1.61      0.00     0.00     0.00     0.00       58  Hash#each_pair (ruby_runtime:0}
  1.58      0.01     0.00     0.00     0.00      123  Array#each(d2) (ruby_runtime:0}
  1.55      0.00     0.00     0.00     0.00      369  FlexGen::ECore::ENamedElement::ClassModule#name ((eval):2}
  1.50      0.00     0.00     0.00     0.00      685  Kernel#nil? (ruby_runtime:0}
  1.44      0.00     0.00     0.00     0.00       29  <Class::FlexGen::ModelBuilder::BuilderContext>#processArguments (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:222}
  1.44      0.03     0.00     0.00     0.03       28  <Class::FlexGen::ModelBuilder::BuilderContext>#associateWithContextElement (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:288}
  1.22      0.00     0.00     0.00     0.00      455  Array#compact (ruby_runtime:0}
  1.20      0.00     0.00     0.00     0.00      528  Kernel#hash (ruby_runtime:0}
  1.16      0.00     0.00     0.00     0.00      338  Hash#[]= (ruby_runtime:0}
  1.01      0.00     0.00     0.00     0.00      118  Array#hash (ruby_runtime:0}
  0.99      0.02     0.00     0.00     0.02       40  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes ((eval):2}
  0.99      0.01     0.00     0.00     0.01       40  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes(d1) ((eval):2}
  0.92      0.01     0.00     0.00     0.00       33  Array#method_missing(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/array_extensions.rb:12}
  0.90      0.01     0.00     0.00     0.01       29  FlexGen::ModelBuilder::BuilderContext::CommandResolver#resolveCommand (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:35}
  0.89      0.00     0.00     0.00     0.00      300  Kernel#respond_to? (ruby_runtime:0}
  0.89      0.00     0.00     0.00     0.00       29  FlexGen::ECore::EClassifier::ClassModule#instanceClass_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:83}
  0.82      0.00     0.00     0.00     0.00       31  FlexGen::ECore::EClass::ClassModule#eReferences ((eval):2}
  0.80      0.06     0.00     0.00     0.06        7  FlexGen::ModelBuilder::BuilderContext#method_missing(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  0.80      0.00     0.00     0.00     0.00       54  Array#each(d3) (ruby_runtime:0}
  0.78      0.00     0.00     0.00     0.00      149  Enumerable#any? (ruby_runtime:0}
  0.74      0.00     0.00     0.00     0.00      294  Fixnum#== (ruby_runtime:0}
  0.72      0.00     0.00     0.00     0.00       29  FlexGen::ECore::EClassifier::ClassModule#instanceClass ((eval):2}
  0.72      0.01     0.00     0.00     0.01       29  <Class::FlexGen::ModelBuilder::BuilderContext>#filterArgHash (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:239}
  0.72      0.00     0.00     0.00     0.00       28  FlexGen::ECore::ETypedElement::ClassModule#many ((eval):2}
  0.67      0.00     0.00     0.00     0.00      266  Array#initialize_copy (ruby_runtime:0}
  0.67      0.02     0.00     0.00     0.02      125  Kernel#send (ruby_runtime:0}
  0.65      0.00     0.00     0.00     0.00      266  <Class::Array>#allocate (ruby_runtime:0}
  0.65      0.00     0.00     0.00     0.00      247  Array#size (ruby_runtime:0}
  0.62      0.00     0.00     0.00     0.00       26  ASMetaModel::NamedBase::ClassModule#name= ((eval):2}
  0.62      0.00     0.00     0.00     0.00       56  FlexGen::ECore::ECoreInstantiator#ecore (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore_instantiator.rb:15}
  0.59      0.00     0.00     0.00     0.00      252  String#== (ruby_runtime:0}
  0.58      0.00     0.00     0.00     0.00       23  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes(d2) ((eval):2}
  0.58      0.00     0.00     0.00     0.00      226  Hash#default (ruby_runtime:0}
  0.58      0.00     0.00     0.00     0.00      244  Kernel#object_id (ruby_runtime:0}
  0.56      0.01     0.00     0.00     0.01       40  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes_derived(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:160}
  0.56      0.02     0.00     0.00     0.02       40  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:160}
  0.55      0.00     0.00     0.00     0.00       67  FlexGen::ECore::EReference::ClassModule#containment ((eval):2}
  0.55      0.00     0.00     0.00     0.00       21  FlexGen::ECore::EClass::ClassModule#eAttributes ((eval):2}
  0.54      0.01     0.00     0.00     0.01       52  <Class::FlexGen::ModelBuilder::BuilderContext>#hasNameAttribute (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:270}
  0.54      0.00     0.00     0.00     0.00       10  FlexGen::ModelBuilder::BuilderContext::PackageResolver#packageByCommand (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:148}
  0.49      0.00     0.00     0.00     0.00      171  Array#+ (ruby_runtime:0}
  0.48      0.00     0.00     0.00     0.00       52  FlexGen::ECore::EClass::ClassModule#eStructuralFeatures ((eval):2}
  0.48      0.00     0.00     0.00     0.00       29  Kernel#eval (ruby_runtime:0}
  0.47      0.00     0.00     0.00     0.00       56  FlexGen::ECore::ETypedElement::ClassModule#upperBound ((eval):2}
  0.45      0.00     0.00     0.00     0.00      171  Array#<< (ruby_runtime:0}
  0.43      0.00     0.00     0.00     0.00       14  Array#method_missing(d3) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/array_extensions.rb:12}
  0.42      0.00     0.00     0.00     0.00       28  FlexGen::NameHelper#firstToUpper (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/name_helper.rb:16}
  0.42      0.00     0.00     0.00     0.00       54  Array#eql? (ruby_runtime:0}
