Thread ID: 2148303280
Total: 0.031087

 %self     total     self     wait    child    calls  name
 13.50      0.01     0.00     0.00     0.00      504  FlexGen::MetamodelBuilder::BuilderRuntime#is_a? (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/metamodel_builder/builder_runtime.rb:16}
  7.64      0.01     0.00     0.00     0.01      168  Array#each (ruby_runtime:0}
  4.81      0.01     0.00     0.00     0.01       59  Array#select (ruby_runtime:0}
  2.89      0.00     0.00     0.00     0.00      504  Module#const_defined? (ruby_runtime:0}
  2.54      0.01     0.00     0.00     0.01       36  Array#method_missing (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/array_extensions.rb:12}
  2.42      0.00     0.00     0.00     0.00      409  Kernel#is_a? (ruby_runtime:0}
  2.26      0.00     0.00     0.00     0.00      119  Array#each(d1) (ruby_runtime:0}
  2.26      0.00     0.00     0.00     0.00      418  Kernel#kind_of? (ruby_runtime:0}
  2.04      0.00     0.00     0.00     0.00      121  FlexGen::ECore::EClass::ClassModule#eSuperTypes ((eval):2}
  1.99      0.00     0.00     0.00     0.00       32  Array#method_missing(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/array_extensions.rb:12}
  1.95      0.00     0.00     0.00     0.00      162  Hash#[] (ruby_runtime:0}
  1.73      0.00     0.00     0.00     0.00      104  Kernel#dup (ruby_runtime:0}
  1.58      0.00     0.00     0.00     0.00      170  FlexGen::ECore::ENamedElement::ClassModule#name ((eval):2}
  1.54      0.00     0.00     0.00     0.00       18  FlexGen::Transformer#trans (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/transformer.rb:330}
  1.46      0.01     0.00     0.00     0.01       10  FlexGen::ModelBuilder::BuilderContext::CommandResolver#resolveCommand (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:35}
  1.36      0.00     0.00     0.00     0.00      239  Kernel#hash (ruby_runtime:0}
  1.31      0.00     0.00     0.00     0.00      233  Kernel#nil? (ruby_runtime:0}
  1.30      0.00     0.00     0.00     0.00       20  Hash#each_pair (ruby_runtime:0}
  1.22      0.01     0.00     0.00     0.01        9  <Class::FlexGen::ModelBuilder::BuilderContext>#associateWithContextElement (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:288}
  1.19      0.00     0.00     0.00     0.00       10  <Class::FlexGen::ModelBuilder::BuilderContext>#processArguments (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:222}
  1.17      0.00     0.00     0.00     0.00       99  Hash#[]= (ruby_runtime:0}
  1.17      0.01     0.00     0.00     0.01       21  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes ((eval):2}
  1.16      0.00     0.00     0.00     0.00       55  Array#hash (ruby_runtime:0}
  1.15      0.00     0.00     0.00     0.00      189  Array#compact (ruby_runtime:0}
  1.14      0.00     0.00     0.00     0.00        9  FlexGen::ModelBuilder::BuilderContext::PackageResolver#packageByCommand (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:148}
  1.09      0.00     0.00     0.00     0.00      147  Kernel#respond_to? (ruby_runtime:0}
  1.07      0.00     0.00     0.00     0.00       18  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes(d1) ((eval):2}
  1.03      0.00     0.00     0.00     0.00       18  FlexGen::ECore::EClass::ClassModule#eReferences ((eval):2}
  1.02      0.03     0.00     0.00     0.03        4  FlexGen::ModelBuilder::BuilderContext#method_missing(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  0.90      0.00     0.00     0.00     0.00       15  FlexGen::ECore::EClass::ClassModule#eAttributes ((eval):2}
  0.78      0.00     0.00     0.00     0.00       18  IO#write (ruby_runtime:0}
  0.78      0.00     0.00     0.00     0.00      144  String#== (ruby_runtime:0}
  0.71      0.01     0.00     0.00     0.01        3  FlexGen::ModelBuilder::BuilderContext#method_missing(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  0.70      0.00     0.00     0.00     0.00       21  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:160}
  0.70      0.00     0.00     0.00     0.00      113  Fixnum#== (ruby_runtime:0}
  0.69      0.01     0.00     0.00     0.01       52  Kernel#send (ruby_runtime:0}
  0.68      0.00     0.00     0.00     0.00      104  <Class::Array>#allocate (ruby_runtime:0}
  0.67      0.00     0.00     0.00     0.00      104  Array#initialize_copy (ruby_runtime:0}
  0.66      0.00     0.00     0.00     0.00       33  FlexGen::ECore::EClass::ClassModule#eStructuralFeatures ((eval):2}
  0.65      0.00     0.00     0.00     0.00       10  FlexGen::ECore::EClassifier::ClassModule#instanceClass_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:83}
  0.64      0.00     0.00     0.00     0.00       18  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes_derived(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:160}
  0.63      0.00     0.00     0.00     0.00       48  Enumerable#any? (ruby_runtime:0}
  0.63      0.00     0.00     0.00     0.00        9  Array#method_missing(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/array_extensions.rb:12}
  0.61      0.00     0.00     0.00     0.00      102  Array#size (ruby_runtime:0}
  0.60      0.01     0.00     0.00     0.01       10  <Class::FlexGen::ModelBuilder::BuilderContext>#filterArgHash (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:239}
  0.59      0.00     0.00     0.00     0.00       10  FlexGen::ECore::EClassifier::ClassModule#instanceClass ((eval):2}
  0.53      0.00     0.00     0.00     0.00        9  FlexGen::ECore::EClass::ClassModule#eAllReferences ((eval):2}
  0.52      0.00     0.00     0.00     0.00        9  FlexGen::ECore::ETypedElement::ClassModule#many ((eval):2}
  0.52      0.00     0.00     0.00     0.00       10  Kernel#eval (ruby_runtime:0}
  0.51      0.00     0.00     0.00     0.00       27  FlexGen::ECore::EReference::ClassModule#containment ((eval):2}
  0.51      0.00     0.00     0.00     0.00       77  Array#+ (ruby_runtime:0}
  0.50      0.00     0.00     0.00     0.00       18  FlexGen::ECore::ECoreInstantiator#ecore (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore_instantiator.rb:15}
  0.50      0.00     0.00     0.00     0.00       18  FlexGen::ModelBuilder::BuilderContext::ExtensionContainerFactory#extensionContainer (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:132}
  0.48      0.00     0.00     0.00     0.00       18  <Class::FlexGen::ModelBuilder::BuilderContext>#eAllReferences (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:275}
  0.45      0.00     0.00     0.00     0.00       69  Hash#default (ruby_runtime:0}
  0.44      0.00     0.00     0.00     0.00       61  Symbol#to_s (ruby_runtime:0}
  0.42      0.00     0.00     0.00     0.00        1  FlexGen::ModelBuilder::BuilderContext#method_missing(d4) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  0.41      0.00     0.00     0.00     0.00       18  FlexGen::ECore::EPackage::ClassModule#eClasses (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore_ext.rb:36}
  0.41      0.00     0.00     0.00     0.00        7  FlexGen::ECore::EClass::ClassModule#eAllReferences(d1) ((eval):2}
  0.40      0.00     0.00     0.00     0.00       14  <Class::FlexGen::ModelBuilder::BuilderContext>#hasNameAttribute (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:270}
  0.39      0.00     0.00     0.00     0.00       50  String#[] (ruby_runtime:0}
  0.38      0.00     0.00     0.00     0.00        7  FlexGen::ECore::EClass::ClassModule#eAllAttributes(d1) ((eval):2}
  0.38      0.00     0.00     0.00     0.00        7  ASMetaModel::MyBase::ClassModule#name= ((eval):2}
  0.38      0.00     0.00     0.00     0.00       18  FlexGen::ECore::EClass::ClassModule#eReferences_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:166}
